species,post_ibd_transfer,within_species_self,total_transfer_descriptive,total_available
Taniva albolineana,-0.13892970255003756,0.09265245262894396,-0.18653442005452858,True
Teleiodes vulgella,0.030183451576340205,-0.5272868477393896,-0.1975544466955029,True
Therioaphis riehmi,-0.04290555990461865,0.0067745620902029445,-0.37574765346045197,True
Tomares ballus,-0.05718212009008665,-0.6120166431270756,-0.2765939240728648,True
Trimerotropis pallidipennis,0.3267968560084272,-0.5436350376792805,0.3552947752464117,True
Tylozygus bifidus,-0.14601237985052867,-0.9423319976908068,0.08599534556645483,True
Valenzuela burmeisteri,0.03323870726139731,-0.015573237988011832,0.06309261283859449,True
Xantholinus linearis,0.13963955766211134,0.3097115019935197,0.32919146232659546,True
Yponomeuta sedella,-0.0768716577540107,-0.8439171122994652,-0.1387528833993749,True
Zygiella atrica,0.6767345192633608,0.5490260483739136,0.6296381210844012,True
