species,post_ibd_transfer,within_species_self,total_transfer_descriptive,total_available
Achalarus albociliatus,0.048309220673170644,-0.4690386152631477,0.19369203604690846,True
Acronicta americana,0.2020422973253162,-0.3382023636740618,0.12973908871667586,True
Acronicta modica,0.30763422273011964,-0.7048251926762241,0.2824741766153903,True
Agapeta hamana,-0.39093701996927804,0.26248079877112135,-0.49476236409713675,True
Agriopis aurantiaria,0.2798699843882956,0.19224585078779838,0.2411344533341536,True
Alcis repandata,0.15813336518429533,-0.08204857577964035,0.17915094766176082,True
Alloxysta fulviceps,0.14652447540585012,-0.13388106372030692,0.41550135994378784,True
Amara convexior,-0.6978278830517993,-0.9093575329183021,-0.5498007695126214,True
Ammoconia caecimacula,0.062474677902925206,-0.8304837533425168,0.07291077004654892,True
Ampelisca macrocephala,0.24156963461415631,-0.4696506094275222,-0.20884583923281888,True
Amphimoea walkeri,0.16140350877192983,0.24035087719298245,-0.30843632870630944,True
Anartia fatima,0.01109713913128157,-0.5826499059361155,-0.025126459327695017,True
Anonyx sarsi,-0.29275809224038923,-0.12774898570489712,-0.2850332590493368,True
Anotylus rugosus,-0.18788555314113675,-0.4854251250027072,-0.08366267130013105,True
Apotomis capreana,0.032151345717176864,-0.06293218844982998,-0.0047799791503546655,True
Aproaerema isoscelixantha,0.7658853736643189,0.6077379513737515,0.6986727191908277,True
Baetis vernus,-0.39768356643356645,0.2903409090909091,-0.36938750472883963,True
Bertholdia specularis,0.27366232629390524,-0.7636502899660794,0.16467375445715193,True
Boletina minuta,-0.20123839009287925,0.17234262125902994,-0.13383265201163858,True
Bombus lapidarius,0.12490917613969296,0.10578342904019689,0.05777527696898191,True
Bryoptera subbrunnea,-0.3979757085020243,-0.4706477732793522,-0.14757372534963184,True
Catocala piatrix,-0.114395628989846,0.12725248286746585,-0.1729545628264674,True
Cheumatopsyche trifascia,-0.5220648110605673,-0.6570048318857462,-0.5036804262638631,True
Clogmia albipunctata,-0.29334523710962507,0.20532566789145978,-0.04683908141005343,True
Cnephasia incertana,0.31149440340420453,0.3429012771358681,0.37662076357612323,True
Cochylidia implicitana,0.33533834586466166,0.3383458646616541,0.4886065654729571,True
Coenotephria tophaceata,-0.12899896800825594,-0.40970072239422084,-0.4833082857424107,True
Coleophora lusciniaepennella,0.5858597053999086,-0.01794899900720811,0.6291250589260324,True
Cratichneumon viator,-0.27191454701499473,0.006813497985579262,-0.259708507692548,True
Dasyhelea bensoni,0.062041798883904146,-0.42291279133384396,-0.05493242881779147,True
Dasytes niger,-0.17717770034843205,-0.22317073170731708,-0.0960189040307471,True
Diadasia australis,0.6189442327257065,0.19163042080831483,0.3737765906379634,True
Diplodoma laichartingella,0.5088235294117647,0.5676470588235294,0.4618344411340101,True
Dismorphia pallidula,-0.6519348071985321,-0.5009216597683637,-0.7603035007446324,True
Drosophila subobscura,0.3015366232157993,0.15851677591963692,0.4057272602243961,True
Drosophila transversa,-0.19014868690533593,-0.1411339256302902,-0.20119282157793897,True
Eratoneura flexibilis,0.34513803170124807,-0.42426379827190974,0.242833911322714,True
Euchloe ausonia,-0.0011609145863033076,-0.04249743062692703,-0.014537436521800607,True
Exaeretia nivalis,-0.09565859837710479,-0.4385578817904189,0.19285118293431142,True
Fishia discors,0.423927536587394,-0.39922010347340475,0.6282445231851298,True
Formica fusca,-0.008539345592317215,0.14694888919670054,0.036643527900707365,True
Garella vallata,-0.2663093109869115,-0.8900807843723619,-0.2558662394055387,True
Glischrochilus sanguinolentus,0.3552458632270734,0.24005540669566644,0.31646881122890574,True
Grammoptera subargentata,-0.28244808708938207,-0.58777564295136,-0.35439415204295716,True
Hednota pedionoma,-0.40077220077220077,-0.2617760617760618,-0.43529184722352987,True
Hemicrepidius hirtus,0.10981572796157126,-0.6656638304519901,0.1136396246916679,True
Hesperia leonardus,-0.20205376019329507,-0.026276049531863487,0.04145924946170866,True
Hylaeus communis,-0.6701870294282128,-0.5473068429301265,-0.35211707808616033,True
Hylaeus unicus,-0.5544736389892114,-0.5472726826387021,-0.43301270189221935,True
Hylesia metabus,-0.6078431372549019,-0.5975232198142415,-0.581311383611035,True
Hypatopa punctiferella,-0.5322874404370713,-0.2658635689340951,-0.5652069518404111,True
Hypena eductalis,0.07277988702359524,0.5406187938235866,0.2132825019451792,True
Hypena masurialis,0.3089074452709912,0.10974539069359086,0.2507245985875607,True
Hypsopygia olinalis,0.23579085361811267,0.5930497227364652,0.11064135441184983,True
Idaea demissaria,0.20374479889042996,-0.12334364664461751,0.11382143840109298,True
Lintneria lugens,0.2505226480836237,-0.7160278745644599,0.24235313300775937,True
Malacosoma castrensis,0.07717793044376993,-0.8136758952500316,0.35482552330421285,True
Metaxmeste phrygialis,-0.23372115254816583,-0.24010133655991825,-0.13724031062475886,True
Microlestes maurus,0.33578828758013896,-0.7864515156482201,0.326329392195912,True
Mompha lacteella,0.8487352705653122,0.17139909356915062,0.8839374521648792,True
Monoctonus nervosus,0.5895725408551249,0.023227082498064437,0.5156531575665129,True
Mycetophila caudata,0.10447567312234293,-0.55494016690285,0.0797112641122994,True
Mycteroperca bonaci,0.6136363636363636,-0.7806324110671937,0.6166329235079155,True
Neotrygon kuhlii,0.02848077358918184,-0.35025559668605677,0.0306135056883322,True
Nephele rosae,0.6033899268074268,0.6084746733816467,0.5686900084778528,True
Nephrotoma ferruginea,-0.0560286558116707,-0.3539006211254257,-0.08002798971648699,True
Neriene digna,-0.03181140766833762,-0.6981845278417559,-0.08800239330788831,True
Nilotanypus fimbriatus,-0.27058823529411763,-0.26814362108479756,-0.736903732503936,True
Nystalea idonea,0.22219972924076778,-0.8727033557105508,0.112355004665886,True
Olceclostera amoria,0.14739803094233475,-0.46462728551336147,-0.08838509845476301,True
Ompok bimaculatus,-0.13632768219260902,-0.5869108496863743,0.03221140519174931,True
Orthocladius melanosoma,0.42822299651567947,0.5343205574912891,0.3115437053576724,True
Orthotaenia undulana,-0.0437197739462969,0.37909043025315525,-0.027995249195410576,True
Panthea furcilla,0.1503750376012129,-0.4927452748468156,0.13190192452995933,True
Perca fluviatilis,-0.2677977491977073,0.2279767615133261,-0.32803488448720974,True
Philodromus cespitum,0.23981496743640338,0.062239876978604336,0.2697266529455016,True
Philonthus cognatus,0.03030893987524618,0.1417685268432034,-0.3316790211751553,True
Picrostigeus recticauda,0.0046718576195773085,-0.7090100111234705,-0.023250896028773074,True
Pimpla annulipes,-0.33126934984520123,-0.8390092879256966,-0.1887008615133458,True
Priocnemis germana,0.3572771971352489,-0.035351638453382524,0.3186202400733904,True
Pseudeustrotia candidula,0.14129005309269768,-0.7204915129758062,0.21431988791072792,True
Pseudoterpna pruinata,-0.43909774436090226,-0.7278195488721805,-0.1822291223204856,True
Psoricoptera speciosella,0.19987741341171308,-0.6253833180366483,-0.09462125935731519,True
Psychoglypha subborealis,-0.11269355262006824,-0.3562068060537136,-0.12822039353585807,True
Pterostichus diligens,-0.11791831357048749,-0.8050065876152833,-0.13276611795115353,True
Rhagonycha atra,0.40890466339542586,0.16252666367868826,0.304227744431847,True
Rhagonycha recta,-0.2518628695809904,0.12326500997641937,-0.25600520351930134,True
Rhomboptila brantsiata,-0.08349003975160554,-0.889808261496841,-0.1702488501569835,True
Robinsonia polyplagia,0.0,0.0,0.0,True
Scopula decorata,0.16194503171247357,-0.6036645525017618,0.12923818148065855,True
Scopula frigidaria,0.13152267049761762,0.18723136366640533,-0.07733602581834259,True
Scythris picaepennis,0.021052631578947368,-0.7894736842105263,-0.04051785610196477,True
Siphona geniculata,-0.3594340979372434,0.49278610933095185,-0.46606871721355636,True
Sitticus finschi,0.3690987818216297,-0.4132434866242166,0.3951795130104351,True
Sphinx pinastri,0.015048711980246354,0.22008240119050146,-0.23781091605125493,True
Spilogona deflorata,0.5202457903917996,0.24539895773198095,0.5743445012241692,True
Stenelmis crenata,0.10013876040703053,-0.0730804810360777,0.16976986351528758,True
Syssphinx mexicana,-0.6500668449197861,-0.7242647058823529,-0.630108438841334,True
